"","X","Y","Count"
"1",-0.05,51.05,1
"2",-0.05,52.35,1
"3",-0.05,52.55,1
"4",-0.05,52.65,1
"5",-0.05,54.15,4
"6",-0.15,51.35,3
"7",-0.15,53.15,1
"8",-0.15,53.25,2
"9",-0.15,53.65,1
"10",-0.15,54.15,86
"11",-0.25,51.35,1
"12",-0.25,51.75,27
"13",-0.25,52.25,1
"14",-0.25,52.55,1
"15",-0.25,53.15,1
"16",-0.25,53.25,2
"17",-0.25,54.25,9
"18",-0.35,51.05,1
"19",-0.35,51.35,1
"20",-0.35,51.75,1
"21",-0.35,53.85,2
"22",-0.35,53.95,1
"23",-0.35,54.25,13
"24",-0.45,51.65,1
"25",-0.45,52.55,1
"26",-0.45,53.25,1
"27",-0.45,53.65,3
"28",-0.45,54.35,1
"29",-0.55,54.05,1
"30",-0.65,52.55,2
"31",-0.65,52.65,74
"32",-0.65,52.95,1
"33",-0.65,53.05,1
"34",-0.65,53.15,3
"35",-0.65,53.55,3
"36",-0.65,53.65,1
"37",-0.65,53.75,15
"38",-0.65,53.85,1
"39",-0.75,51.95,1
"40",-0.75,52.25,1
"41",-0.75,52.55,4
"42",-0.75,52.65,7
"43",-0.75,52.95,6
"44",-0.75,53.05,1
"45",-0.75,53.15,1
"46",-0.75,53.25,1
"47",-0.75,53.35,2
"48",-0.75,53.65,89
"49",-0.75,54.55,1
"50",-0.85,52.35,2
"51",-0.85,52.75,1
"52",-0.85,52.95,2
"53",-0.85,53.65,1
"54",-0.85,54.25,2
"55",-0.85,54.35,1
"56",-0.95,53.05,1
"57",-0.95,53.15,2
"58",-0.95,53.35,5
"59",-0.95,53.45,14
"60",-0.95,53.55,4
"61",-0.95,53.65,4
"62",-0.95,53.95,10
"63",-0.95,54.35,1
"64",-1.05,52.85,3
"65",-1.05,52.95,15
"66",-1.05,53.25,4
"67",-1.05,53.65,2
"68",-1.05,54.55,1
"69",-1.15,52.95,1
"70",-1.15,53.05,1
"71",-1.15,53.55,1
"72",-1.15,53.85,1
"73",-1.15,54.05,1
"74",-1.15,54.15,1
"75",-1.15,54.65,4
"76",-1.25,51.75,2
"77",-1.25,52.95,30
"78",-1.25,54.45,7
"79",-1.25,54.65,102
"80",-1.35,52.35,8
"81",-1.35,52.85,1
"82",-1.35,53.55,46
"83",-1.35,53.75,41
"84",-1.35,54.85,2
"85",-1.35,54.95,3
"86",-1.45,53.05,1
"87",-1.45,53.25,1
"88",-1.45,53.65,7
"89",-1.45,53.75,3
"90",-1.45,54.05,59
"91",-1.45,54.65,3
"92",-1.45,54.85,41
"93",-1.45,54.95,2
"94",-1.45,55.05,11
"95",-1.55,52.85,1
"96",-1.55,53.35,1
"97",-1.55,54.15,4
"98",-1.55,54.25,2
"99",-1.55,54.85,12
"100",-1.55,55.15,2
"101",-1.55,55.25,64
"102",-1.55,55.35,12
"103",-1.55,55.45,2
"104",-1.65,50.85,1
"105",-1.65,51.65,2
"106",-1.65,52.55,1
"107",-1.65,53.05,68
"108",-1.65,54.25,2
"109",-1.65,54.75,1
"110",-1.65,54.85,10
"111",-1.65,54.95,3
"112",-1.65,55.05,9
"113",-1.65,55.15,2
"114",-1.65,55.55,1
"115",-1.65,59.55,3
"116",-1.75,52.55,1
"117",-1.75,52.75,1
"118",-1.75,54.05,1
"119",-1.75,54.75,14
"120",-1.75,55.65,5
"121",-1.85,53.05,1
"122",-1.85,53.95,1
"123",-1.85,54.75,2
"124",-1.85,54.95,1
"125",-1.85,55.15,1
"126",-1.85,57.65,3
"127",-1.95,54.05,1
"128",-1.95,55.45,2
