"","X","Y","Count"
"1",-0.05,51.05,2
"2",-0.05,51.75,1
"3",-0.05,54.15,12
"4",-0.15,51.15,2
"5",-0.15,51.35,244
"6",-0.15,51.45,1
"7",-0.15,51.95,1
"8",-0.15,53.25,3
"9",-0.15,53.75,1
"10",-0.15,53.85,1
"11",-0.15,53.95,6
"12",-0.15,54.15,63
"13",-0.25,50.85,1
"14",-0.25,51.45,1
"15",-0.25,51.75,2
"16",-0.25,53.25,2
"17",-0.25,53.65,1
"18",-0.25,53.75,1
"19",-0.25,54.15,4
"20",-0.25,54.25,32
"21",-0.35,53.95,5
"22",-0.35,54.25,178
"23",-0.45,50.95,2
"24",-0.45,51.65,2
"25",-0.45,53.65,2
"26",-0.45,53.95,1
"27",-0.45,54.25,1
"28",-0.55,50.85,1
"29",-0.55,51.35,1
"30",-0.55,53.05,1
"31",-0.55,54.35,1
"32",-0.65,51.85,2
"33",-0.65,52.65,148
"34",-0.65,52.95,2
"35",-0.65,53.15,1
"36",-0.65,53.45,1
"37",-0.65,53.55,6
"38",-0.65,53.75,9
"39",-0.65,54.35,1
"40",-0.75,52.25,2
"41",-0.75,52.55,2
"42",-0.75,52.65,3
"43",-0.75,52.75,1
"44",-0.75,53.55,1
"45",-0.75,53.65,33
"46",-0.75,53.75,1
"47",-0.75,54.15,1
"48",-0.85,51.95,1
"49",-0.85,52.75,1
"50",-0.85,53.85,90
"51",-0.85,54.25,1
"52",-0.85,54.55,1
"53",-0.95,51.65,1
"54",-0.95,51.85,1
"55",-0.95,51.95,1
"56",-0.95,52.95,1
"57",-0.95,53.05,1
"58",-0.95,53.35,1
"59",-0.95,53.45,1
"60",-0.95,53.55,27
"61",-0.95,53.85,171
"62",-0.95,53.95,9
"63",-1.05,52.95,27
"64",-1.05,53.15,3
"65",-1.05,53.25,3
"66",-1.05,53.65,3
"67",-1.05,53.95,2
"68",-1.05,54.55,1
"69",-1.15,51.85,1
"70",-1.15,51.95,1
"71",-1.15,52.25,1
"72",-1.15,52.45,2
"73",-1.15,52.65,1
"74",-1.15,52.95,2
"75",-1.15,53.85,3
"76",-1.15,53.95,1
"77",-1.15,54.65,1
"78",-1.25,51.25,1
"79",-1.25,51.75,4
"80",-1.25,52.15,1
"81",-1.25,52.75,2
"82",-1.25,52.85,2
"83",-1.25,52.95,14
"84",-1.25,53.85,1
"85",-1.25,54.45,1
"86",-1.25,54.55,4
"87",-1.25,54.65,72
"88",-1.35,52.05,1
"89",-1.35,52.65,1
"90",-1.35,53.55,31
"91",-1.35,53.75,20
"92",-1.35,54.35,1
"93",-1.35,54.45,1
"94",-1.35,54.85,2
"95",-1.35,54.95,1
"96",-1.45,50.85,1
"97",-1.45,52.05,3
"98",-1.45,52.95,1
"99",-1.45,53.15,2
"100",-1.45,53.75,1
"101",-1.45,53.85,1
"102",-1.45,54.05,371
"103",-1.45,54.65,1
"104",-1.45,54.85,1
"105",-1.45,54.95,4
"106",-1.45,55.05,10
"107",-1.55,50.85,1
"108",-1.55,50.95,2
"109",-1.55,51.65,1
"110",-1.55,52.45,4
"111",-1.55,53.95,1
"112",-1.55,54.25,2
"113",-1.55,54.75,1
"114",-1.55,54.85,1
"115",-1.55,55.05,2
"116",-1.55,55.15,6
"117",-1.55,55.25,70
"118",-1.55,55.35,36
"119",-1.55,55.45,1
"120",-1.65,53.05,24
"121",-1.65,53.85,4
"122",-1.65,54.75,2
"123",-1.65,55.05,17
"124",-1.65,55.15,4
"125",-1.65,55.25,1
"126",-1.65,55.35,1
"127",-1.65,55.55,6
"128",-1.75,50.85,1
"129",-1.75,51.45,1
"130",-1.75,52.55,4
"131",-1.75,53.85,3
"132",-1.75,53.95,1
"133",-1.75,54.45,1
"134",-1.75,54.65,1
"135",-1.75,54.95,6
"136",-1.75,55.05,1
"137",-1.75,55.55,1
"138",-1.75,55.65,1
"139",-1.75,57.45,1
"140",-1.85,51.35,4
"141",-1.85,52.05,1
"142",-1.85,52.15,1
"143",-1.85,54.55,3
"144",-1.85,55.15,1
"145",-1.85,55.65,1
"146",-1.85,57.45,1
"147",-1.85,57.65,1
"148",-1.95,51.75,7
"149",-1.95,52.55,1
"150",-1.95,52.75,3
"151",-1.95,53.15,1
"152",-1.95,54.05,1
"153",-1.95,57.55,3
"154",-1.95,57.65,7
"155",-2.05,52.35,2
"156",-2.05,52.65,4
"157",-2.05,52.85,1
"158",-2.05,53.75,1
"159",-2.05,54.95,1
"160",-2.05,55.55,1
"161",-2.15,52.15,1
"162",-2.15,52.55,1
"163",-2.15,52.65,3
"164",-2.15,52.95,1
"165",-2.15,55.85,1
"166",-2.15,56.95,1
"167",-2.25,52.65,41
"168",-2.25,53.15,1
"169",-2.25,54.25,1
"170",-2.25,54.35,1
"171",-2.25,54.65,1
"172",-2.25,55.05,1
"173",-2.25,56.95,3
"174",-2.25,57.15,1
"175",-2.25,57.65,1
"176",-2.35,51.15,1
"177",-2.35,51.35,1
"178",-2.35,55.95,2
"179",-2.35,57.35,3
"180",-2.45,53.15,1
"181",-2.45,53.35,1
"182",-2.45,55.95,1
"183",-2.45,56.65,6
"184",-2.45,56.75,1
"185",-2.55,52.05,1
"186",-2.55,53.85,8
"187",-2.55,53.95,2
"188",-2.55,56.75,1
"189",-2.65,52.65,6
"190",-2.65,53.25,20
"191",-2.65,53.65,1
"192",-2.65,53.75,4
"193",-2.65,54.35,5
"194",-2.65,54.85,2
"195",-2.65,56.25,2
"196",-2.65,56.35,1
"197",-2.65,56.55,1
"198",-2.65,57.55,1
"199",-2.75,52.95,1
"200",-2.75,53.55,2
"201",-2.75,53.75,4
"202",-2.75,54.15,2
"203",-2.75,54.25,2
"204",-2.75,54.65,1
"205",-2.75,54.75,2
"206",-2.85,52.85,4
"207",-2.85,53.05,1
"208",-2.85,53.65,24
"209",-2.85,53.75,1
"210",-2.85,54.15,1
"211",-2.85,54.85,1
"212",-2.85,55.95,2
"213",-2.85,56.05,19
"214",-2.85,56.35,6
"215",-2.85,56.45,3
"216",-2.95,53.25,1
"217",-2.95,53.65,13
"218",-2.95,54.15,1
