"","X","Y","Count"
"1",-0.05,54.15,2
"2",-0.15,51.35,1
"3",-0.15,54.15,23
"4",-0.25,51.75,3
"5",-0.25,54.15,4
"6",-0.25,54.25,19
"7",-0.35,53.95,1
"8",-0.35,54.25,3
"9",-0.45,53.05,1
"10",-0.55,52.05,1
"11",-0.55,53.05,1
"12",-0.55,53.75,1
"13",-0.65,52.65,3
"14",-0.65,52.95,1
"15",-0.65,53.05,1
"16",-0.65,53.15,1
"17",-0.75,52.55,2
"18",-0.75,52.65,1
"19",-0.75,53.35,2
"20",-0.75,53.55,1
"21",-0.75,53.65,5
"22",-0.75,54.05,2
"23",-0.85,52.35,1
"24",-0.85,60.75,1
"25",-0.85,60.85,2
"26",-0.95,51.95,1
"27",-0.95,53.85,1
"28",-1.05,53.65,1
"29",-1.15,53.95,1
"30",-1.25,52.95,4
"31",-1.25,54.65,1
"32",-1.35,53.55,2
"33",-1.35,53.75,4
"34",-1.35,54.95,12
"35",-1.45,51.75,1
"36",-1.45,53.65,1
"37",-1.45,54.05,5
"38",-1.45,54.85,3
"39",-1.45,55.05,3
"40",-1.55,51.95,1
"41",-1.55,54.75,2
"42",-1.55,54.85,1
"43",-1.55,54.95,1
"44",-1.55,55.05,1
"45",-1.55,55.15,2
"46",-1.55,55.25,10
"47",-1.55,55.35,1
"48",-1.55,55.45,1
"49",-1.65,53.05,7
"50",-1.65,54.75,1
"51",-1.65,55.05,2
"52",-1.65,55.35,1
"53",-1.75,52.55,1
"54",-1.75,52.75,1
"55",-1.75,53.85,1
"56",-1.75,55.65,1
"57",-1.85,57.65,1
"58",-1.95,57.65,2
"59",-2.05,52.35,1
"60",-2.05,53.45,1
"61",-2.05,54.95,1
"62",-2.15,56.95,1
"63",-2.25,53.55,1
"64",-2.25,54.05,2
"65",-2.35,53.45,1
"66",-2.45,53.45,1
"67",-2.45,55.95,2
"68",-2.45,56.65,1
"69",-2.45,59.35,1
"70",-2.55,53.45,2
"71",-2.65,56.05,2
"72",-2.75,53.35,2
"73",-2.75,56.05,1
"74",-2.85,53.65,13
"75",-2.85,56.05,2
"76",-2.85,56.35,1
"77",-2.95,53.45,1
"78",-2.95,53.95,2
"79",-2.95,55.85,1
"80",-3.15,52.65,1
"81",-3.15,55.85,1
"82",-3.25,54.95,1
"83",-3.25,56.45,2
"84",-3.35,56.15,1
"85",-3.45,54.95,1
"86",-3.75,55.85,1
"87",-3.85,56.05,1
"88",-3.95,57.15,1
"89",-4.05,51.85,1
"90",-4.05,56.25,1
"91",-4.05,57.55,1
"92",-4.15,57.55,1
"93",-4.15,57.65,1
"94",-4.55,56.05,1
"95",-6.25,54.55,2
"96",-6.85,55.15,1
"97",-7.25,55.05,1
"98",0.05,52.95,3
"99",0.05,53.65,5
"100",0.15,53.65,52
"101",0.25,52.55,2
"102",0.25,52.75,1
"103",0.55,52.85,1
"104",0.65,52.55,2
"105",0.65,52.95,2
"106",0.75,52.35,1
"107",0.95,50.95,10
"108",0.95,52.55,4
"109",1.35,51.15,1
"110",1.45,52.05,1
"111",1.65,52.35,1
"112",1.75,52.35,1
