"","X","Y","Count"
"1",-0.05,53.15,1
"2",-0.05,54.15,8
"3",-0.15,51.35,2
"4",-0.15,53.95,1
"5",-0.15,54.15,66
"6",-0.25,51.75,25
"7",-0.25,54.15,4
"8",-0.25,54.25,13
"9",-0.35,52.85,1
"10",-0.35,54.25,10
"11",-0.45,52.95,1
"12",-0.45,54.35,1
"13",-0.55,54.25,1
"14",-0.55,54.35,1
"15",-0.55,54.45,1
"16",-0.65,52.65,23
"17",-0.65,52.95,1
"18",-0.65,53.25,1
"19",-0.65,53.65,1
"20",-0.65,53.75,2
"21",-0.65,54.45,2
"22",-0.75,52.25,1
"23",-0.75,52.65,5
"24",-0.75,53.65,25
"25",-0.75,53.75,2
"26",-0.75,54.05,2
"27",-0.75,54.25,3
"28",-0.75,54.35,1
"29",-0.75,54.55,1
"30",-0.85,52.35,11
"31",-0.85,53.75,5
"32",-0.85,54.55,3
"33",-0.95,51.05,1
"34",-0.95,53.35,1
"35",-0.95,53.85,4
"36",-0.95,53.95,1
"37",-0.95,54.05,1
"38",-0.95,54.35,1
"39",-1.05,52.45,1
"40",-1.05,53.25,1
"41",-1.05,53.65,8
"42",-1.05,54.25,3
"43",-1.05,54.35,1
"44",-1.15,51.85,1
"45",-1.15,52.45,1
"46",-1.15,53.95,1
"47",-1.15,54.05,4
"48",-1.15,54.25,1
"49",-1.25,51.35,1
"50",-1.25,52.95,5
"51",-1.25,53.95,1
"52",-1.25,54.05,70
"53",-1.25,54.65,39
"54",-1.35,52.35,2
"55",-1.35,53.55,11
"56",-1.35,53.75,47
"57",-1.35,54.05,3
"58",-1.35,54.25,1
"59",-1.35,54.85,1
"60",-1.35,54.95,3
"61",-1.35,59.85,1
"62",-1.45,51.15,1
"63",-1.45,53.25,2
"64",-1.45,54.05,28
"65",-1.45,54.55,1
"66",-1.45,54.85,23
"67",-1.45,55.05,18
"68",-1.45,55.15,1
"69",-1.55,50.75,1
"70",-1.55,54.15,13
"71",-1.55,54.75,2
"72",-1.55,54.85,7
"73",-1.55,55.05,1
"74",-1.55,55.15,4
"75",-1.55,55.25,27
"76",-1.55,55.35,19
"77",-1.55,55.45,2
"78",-1.65,50.85,1
"79",-1.65,53.05,20
"80",-1.65,54.75,2
"81",-1.65,54.85,7
"82",-1.65,54.95,10
"83",-1.65,55.05,5
"84",-1.65,55.25,1
"85",-1.65,55.35,1
"86",-1.65,59.55,3
"87",-1.75,50.75,1
"88",-1.75,52.55,1
"89",-1.75,53.35,1
"90",-1.75,54.05,1
"91",-1.75,54.45,3
"92",-1.75,54.65,1
"93",-1.75,54.75,7
"94",-1.75,55.05,2
"95",-1.85,51.45,1
"96",-1.85,52.75,1
"97",-1.85,55.05,2
"98",-1.85,55.65,1
"99",-1.85,57.65,1
"100",-1.95,51.65,1
"101",-1.95,53.15,4
"102",-1.95,57.35,1
"103",-1.95,57.65,6
"104",-2.05,54.15,1
"105",-2.15,53.35,1
"106",-2.15,55.05,1
"107",-2.15,55.95,3
"108",-2.15,56.95,5
"109",-2.15,57.05,3
"110",-2.25,51.45,1
"111",-2.25,52.65,6
"112",-2.25,55.05,3
"113",-2.35,53.45,2
"114",-2.35,53.55,1
"115",-2.45,50.55,1
"116",-2.45,53.15,8
"117",-2.45,53.45,14
"118",-2.45,54.15,6
"119",-2.45,55.95,5
"120",-2.45,56.65,5
"121",-2.45,57.25,1
"122",-2.45,57.35,3
"123",-2.55,53.25,1
"124",-2.55,55.95,1
"125",-2.55,56.55,1
"126",-2.55,57.05,2
"127",-2.65,51.15,1
"128",-2.65,52.65,1
"129",-2.65,53.75,1
"130",-2.75,53.55,2
"131",-2.75,57.15,4
"132",-2.85,53.15,1
"133",-2.85,53.35,1
"134",-2.85,53.65,20
"135",-2.85,53.75,9
"136",-2.85,54.25,1
"137",-2.85,55.85,23
"138",-2.85,56.05,6
"139",-2.85,56.35,1
"140",-2.85,56.45,2
"141",-2.95,53.35,1
"142",-2.95,53.75,2
"143",-2.95,54.15,1
"144",-2.95,55.85,1
"145",-2.95,55.95,5
"146",-2.95,56.25,1
"147",-2.95,56.65,1
"148",-3.05,51.15,1
"149",-3.05,52.55,1
"150",-3.05,53.45,1
"151",-3.05,55.85,2
"152",-3.05,56.65,1
"153",-3.05,57.65,5
"154",-3.15,52.25,1
"155",-3.15,53.35,1
"156",-3.15,54.65,1
"157",-3.15,54.95,1
"158",-3.15,55.95,2
"159",-3.15,56.65,1
"160",-3.25,55.95,3
"161",-3.25,56.05,1
"162",-3.25,56.35,1
"163",-3.25,56.45,4
"164",-3.25,57.65,1
"165",-3.25,57.75,1
"166",-3.35,54.95,3
"167",-3.35,56.05,6
"168",-3.35,56.15,10
"169",-3.35,56.25,1
"170",-3.35,57.35,1
"171",-3.45,55.95,1
"172",-3.45,56.45,1
"173",-3.55,55.05,1
"174",-3.55,56.45,1
"175",-3.65,55.05,1
"176",-3.65,57.25,1
"177",-3.75,56.75,1
"178",-3.75,57.85,2
"179",-3.85,56.35,1
"180",-3.95,56.15,1
"181",-4.05,56.25,3
"182",-4.05,57.45,2
"183",-4.05,57.55,7
"184",-4.15,51.85,2
"185",-4.15,55.85,1
"186",-4.15,57.55,9
"187",-4.15,57.65,13
"188",-4.25,55.85,2
"189",-4.25,57.45,1
"190",-4.85,55.65,1
"191",-5.05,58.25,2
"192",-5.55,54.55,1
"193",-5.65,54.55,1
"194",-5.75,54.55,1
"195",-5.75,54.65,1
"196",-6.25,54.55,2
"197",-6.25,57.65,1
"198",-6.45,54.55,1
"199",-6.85,55.15,1
"200",0.05,50.85,1
"201",0.05,52.45,1
"202",0.05,52.95,28
"203",0.05,53.15,3
"204",0.05,53.65,29
"205",0.05,53.75,1
"206",0.15,52.45,3
"207",0.15,52.65,1
"208",0.15,52.85,1
