"","X","Y","Count"
"1",-0.05,51.75,1
"2",-0.05,52.95,1
"3",-0.05,53.15,1
"4",-0.15,53.65,1
"5",-0.15,54.15,10
"6",-0.25,51.65,1
"7",-0.25,51.75,8
"8",-0.35,54.25,1
"9",-0.55,53.65,1
"10",-0.55,53.75,1
"11",-0.55,54.35,1
"12",-0.65,51.85,1
"13",-0.65,52.65,4
"14",-0.65,52.95,1
"15",-0.65,53.75,1
"16",-0.75,52.55,3
"17",-0.75,52.65,1
"18",-0.75,52.95,1
"19",-0.75,53.65,9
"20",-0.75,60.45,1
"21",-0.85,52.35,4
"22",-0.85,54.35,1
"23",-0.85,54.55,1
"24",-0.95,53.35,1
"25",-1.05,53.65,1
"26",-1.15,53.45,1
"27",-1.15,54.15,1
"28",-1.15,54.35,2
"29",-1.25,52.95,4
"30",-1.25,54.05,4
"31",-1.25,54.65,8
"32",-1.35,53.55,3
"33",-1.35,53.75,11
"34",-1.35,59.95,2
"35",-1.45,53.65,1
"36",-1.45,54.05,3
"37",-1.45,54.85,4
"38",-1.45,55.05,7
"39",-1.55,53.45,1
"40",-1.55,53.55,1
"41",-1.55,54.15,1
"42",-1.55,54.75,3
"43",-1.55,55.25,11
"44",-1.65,53.05,4
"45",-1.65,54.65,1
"46",-1.65,54.95,3
"47",-1.65,55.05,4
"48",-1.65,55.35,1
"49",-1.65,55.55,3
"50",-1.75,53.75,1
"51",-1.75,54.75,1
"52",-1.75,54.95,1
"53",-1.75,55.55,1
"54",-1.75,55.65,1
"55",-1.85,54.85,1
"56",-1.95,53.15,1
"57",-1.95,57.65,2
"58",-2.05,50.65,1
"59",-2.05,53.45,1
"60",-2.05,53.95,1
"61",-2.05,57.15,1
"62",-2.15,55.95,1
"63",-2.15,56.95,1
"64",-2.25,52.65,2
"65",-2.25,53.25,2
"66",-2.25,54.05,1
"67",-2.45,52.75,1
"68",-2.45,53.15,1
"69",-2.45,53.45,4
"70",-2.45,56.65,1
"71",-2.45,56.75,1
"72",-2.65,55.65,1
"73",-2.75,53.65,1
"74",-2.75,54.25,1
"75",-2.85,53.65,10
"76",-2.85,53.75,1
"77",-2.85,54.25,1
"78",-2.85,55.85,1
"79",-2.85,56.05,1
"80",-2.85,56.35,1
"81",-2.85,57.05,1
"82",-2.95,51.55,1
"83",-2.95,53.55,1
"84",-2.95,56.25,2
"85",-2.95,56.45,1
"86",-3.05,54.95,1
"87",-3.05,56.35,1
"88",-3.05,56.65,1
"89",-3.15,55.95,1
"90",-3.25,54.95,1
"91",-3.35,54.45,1
"92",-3.35,56.15,4
"93",-3.35,56.25,1
"94",-3.35,57.75,1
"95",-3.45,54.95,3
"96",-3.45,56.15,1
"97",-3.85,56.15,1
"98",-4.05,56.25,1
"99",-4.15,51.85,1
"100",-4.15,57.65,1
"101",-4.45,57.55,1
"102",-6.35,54.45,1
"103",-6.55,55.25,1
"104",0.05,52.95,6
"105",0.05,53.15,1
"106",0.05,53.65,2
"107",0.15,52.05,1
"108",0.15,52.45,3
"109",0.15,53.65,20
"110",0.25,52.55,3
"111",0.55,52.35,2
"112",0.65,52.55,1
"113",0.85,51.35,1
"114",0.95,50.95,1
"115",0.95,51.35,1
"116",0.95,52.55,1
"117",1.25,52.75,1
"118",1.25,52.85,1
"119",1.35,51.15,1
"120",1.45,52.05,1
"121",1.55,52.15,1
"122",1.75,52.35,1
