"","X","Y","Count"
"1",-0.05,51.75,1
"2",-0.05,51.85,1
"3",-0.05,52.25,3
"4",-0.05,52.55,1
"5",-0.05,53.05,2
"6",-0.05,53.55,1
"7",-0.05,54.15,2
"8",-0.15,51.35,7
"9",-0.15,53.25,1
"10",-0.15,54.05,1
"11",-0.15,54.15,13
"12",-0.25,51.75,2
"13",-0.25,52.75,1
"14",-0.25,54.15,4
"15",-0.25,54.25,23
"16",-0.35,52.05,1
"17",-0.35,52.55,1
"18",-0.35,52.75,2
"19",-0.35,53.85,1
"20",-0.35,54.25,2
"21",-0.45,51.55,1
"22",-0.45,54.35,1
"23",-0.55,52.25,1
"24",-0.55,53.05,3
"25",-0.55,54.35,1
"26",-0.65,52.65,1
"27",-0.65,52.95,2
"28",-0.65,53.05,1
"29",-0.65,53.55,1
"30",-0.65,53.85,1
"31",-0.75,52.15,1
"32",-0.75,52.25,1
"33",-0.75,52.65,1
"34",-0.75,53.35,3
"35",-0.75,53.55,1
"36",-0.75,53.65,4
"37",-0.85,52.35,3
"38",-0.85,54.05,1
"39",-0.95,53.85,1
"40",-0.95,54.05,1
"41",-0.95,54.15,1
"42",-1.15,51.85,1
"43",-1.15,53.55,1
"44",-1.25,52.85,5
"45",-1.25,54.05,4
"46",-1.25,54.65,3
"47",-1.35,53.25,1
"48",-1.35,53.55,5
"49",-1.35,53.75,2
"50",-1.35,54.95,61
"51",-1.45,54.05,1
"52",-1.45,54.85,1
"53",-1.45,54.95,1
"54",-1.45,55.05,8
"55",-1.55,55.25,4
"56",-1.55,55.35,5
"57",-1.65,53.05,6
"58",-1.65,53.85,1
"59",-1.65,54.25,1
"60",-1.65,54.95,1
"61",-1.65,55.15,1
"62",-1.75,54.75,1
"63",-1.75,55.05,1
"64",-1.85,51.15,1
"65",-1.85,55.05,1
"66",-1.85,55.65,1
"67",-1.95,51.65,1
"68",-1.95,57.65,1
"69",-2.05,52.35,1
"70",-2.05,52.85,1
"71",-2.05,55.35,1
"72",-2.25,52.65,2
"73",-2.35,54.55,1
"74",-2.35,56.75,1
"75",-2.45,57.35,1
"76",-2.45,59.35,6
"77",-2.55,53.35,1
"78",-2.55,56.55,1
"79",-2.65,52.65,1
"80",-2.65,53.65,1
"81",-2.75,53.65,1
"82",-2.85,53.15,1
"83",-2.85,53.65,6
"84",-2.85,53.85,1
"85",-2.85,56.05,1
"86",-3.05,53.25,1
"87",-3.05,54.85,1
"88",-3.15,55.85,2
"89",-3.15,55.95,1
"90",-3.25,54.95,2
"91",-3.25,56.35,1
"92",-3.35,56.15,4
"93",-3.45,54.95,4
"94",-3.45,56.15,1
"95",-3.85,56.15,1
"96",-4.05,56.25,1
"97",0.05,52.95,7
"98",0.05,53.45,1
"99",0.15,53.15,1
"100",0.15,53.65,33
"101",0.25,52.55,4
"102",0.25,53.15,1
"103",0.55,52.35,1
"104",0.65,50.85,2
"105",0.65,50.95,1
"106",0.65,52.35,2
"107",0.75,52.25,1
"108",0.85,52.45,1
"109",0.95,50.95,15
"110",0.95,51.05,1
"111",0.95,52.45,2
"112",1.45,52.75,1
"113",1.65,52.15,1
