"","X","Y","Count"
"1",-0.05,51.75,1
"2",-0.05,52.25,1
"3",-0.05,54.15,3
"4",-0.15,51.35,6
"5",-0.15,54.15,86
"6",-0.25,51.75,11
"7",-0.25,54.15,6
"8",-0.25,54.25,66
"9",-0.35,53.95,2
"10",-0.35,54.25,11
"11",-0.45,54.35,3
"12",-0.55,50.85,1
"13",-0.55,52.35,1
"14",-0.55,53.75,3
"15",-0.55,54.25,1
"16",-0.55,54.35,1
"17",-0.65,52.65,5
"18",-0.65,52.95,1
"19",-0.65,53.05,1
"20",-0.65,53.55,2
"21",-0.75,50.75,1
"22",-0.75,52.55,1
"23",-0.75,52.65,3
"24",-0.75,52.85,2
"25",-0.75,53.35,4
"26",-0.75,53.65,14
"27",-0.75,53.75,2
"28",-0.75,54.25,2
"29",-0.75,60.45,2
"30",-0.85,51.45,1
"31",-0.85,52.35,3
"32",-0.85,53.75,1
"33",-0.85,54.25,1
"34",-0.85,54.35,2
"35",-0.85,60.85,1
"36",-0.95,53.05,1
"37",-0.95,53.15,1
"38",-0.95,53.35,2
"39",-0.95,53.55,1
"40",-0.95,53.75,1
"41",-0.95,53.85,1
"42",-0.95,54.05,1
"43",-0.95,54.25,1
"44",-1.05,53.65,8
"45",-1.05,54.25,1
"46",-1.15,53.95,2
"47",-1.15,54.25,1
"48",-1.15,54.45,1
"49",-1.15,54.65,3
"50",-1.25,50.85,1
"51",-1.25,52.95,6
"52",-1.25,53.75,1
"53",-1.25,54.25,1
"54",-1.25,54.55,2
"55",-1.25,54.65,22
"56",-1.35,52.35,1
"57",-1.35,53.55,10
"58",-1.35,53.75,12
"59",-1.35,54.95,6
"60",-1.45,50.75,1
"61",-1.45,53.65,1
"62",-1.45,54.05,15
"63",-1.45,54.65,2
"64",-1.45,54.85,9
"65",-1.45,55.05,23
"66",-1.55,50.75,1
"67",-1.55,53.35,1
"68",-1.55,54.15,3
"69",-1.55,54.75,2
"70",-1.55,54.85,5
"71",-1.55,55.15,3
"72",-1.55,55.25,38
"73",-1.55,55.35,9
"74",-1.65,53.05,22
"75",-1.65,53.65,1
"76",-1.65,54.05,1
"77",-1.65,54.45,2
"78",-1.65,54.65,1
"79",-1.65,54.95,4
"80",-1.65,55.05,5
"81",-1.65,55.15,1
"82",-1.65,55.25,1
"83",-1.65,55.45,3
"84",-1.65,55.55,2
"85",-1.65,59.55,2
"86",-1.75,52.75,1
"87",-1.75,53.65,1
"88",-1.75,54.75,5
"89",-1.75,54.95,1
"90",-1.75,55.35,3
"91",-1.75,55.65,5
"92",-1.85,51.45,1
"93",-1.85,55.05,1
"94",-1.85,55.65,1
"95",-1.85,57.45,1
"96",-1.85,57.65,1
"97",-1.95,52.35,1
"98",-1.95,52.95,1
"99",-1.95,53.15,3
"100",-1.95,53.75,1
"101",-1.95,55.65,1
"102",-1.95,57.35,1
"103",-1.95,57.65,4
"104",-2.05,53.45,5
"105",-2.05,54.95,3
"106",-2.15,53.45,1
"107",-2.15,55.35,2
"108",-2.15,55.65,1
"109",-2.15,55.85,2
"110",-2.15,55.95,2
"111",-2.15,56.95,1
"112",-2.25,51.85,1
"113",-2.25,52.35,1
"114",-2.25,52.65,11
"115",-2.25,53.25,5
