"","X","Y","Count"
"1",-0.05,52.25,1
"2",-0.05,53.05,1
"3",-0.05,54.15,2
"4",-0.15,51.35,3
"5",-0.15,54.15,12
"6",-0.25,54.15,2
"7",-0.25,54.25,20
"8",-0.35,52.65,1
"9",-0.35,52.75,1
"10",-0.35,53.95,1
"11",-0.35,54.25,8
"12",-0.55,54.35,1
"13",-0.65,52.65,2
"14",-0.65,53.55,1
"15",-0.75,52.25,1
"16",-0.75,53.35,2
"17",-0.75,53.65,3
"18",-0.85,52.35,3
"19",-0.85,54.25,1
"20",-0.95,54.05,1
"21",-1.05,53.65,1
"22",-1.15,51.85,1
"23",-1.25,52.85,1
"24",-1.25,54.65,6
"25",-1.35,53.75,1
"26",-1.35,54.95,13
"27",-1.45,51.65,1
"28",-1.45,54.05,6
"29",-1.45,55.05,5
"30",-1.55,54.85,1
"31",-1.55,54.95,1
"32",-1.55,55.15,1
"33",-1.55,55.25,8
"34",-1.55,55.35,2
"35",-1.65,53.05,1
"36",-1.65,54.15,1
"37",-1.65,54.45,1
"38",-1.65,54.95,1
"39",-1.65,55.05,3
"40",-1.65,55.25,1
"41",-1.65,55.45,1
"42",-1.85,53.95,1
"43",-1.85,55.05,1
"44",-1.95,51.95,1
"45",-1.95,53.15,1
"46",-1.95,57.35,1
"47",-1.95,57.65,1
"48",-2.15,52.95,1
"49",-2.15,55.95,1
"50",-2.15,56.95,1
"51",-2.25,52.65,1
"52",-2.25,53.25,2
"53",-2.45,53.45,1
"54",-2.45,56.65,2
"55",-2.45,57.35,2
"56",-2.45,59.35,1
"57",-2.55,53.45,1
"58",-2.55,56.05,1
"59",-2.65,52.65,1
"60",-2.75,53.65,1
"61",-2.85,53.65,8
"62",-2.85,53.85,1
"63",-2.85,53.95,1
"64",-2.85,56.35,1
"65",-2.95,55.95,1
"66",-3.05,54.95,1
"67",-3.05,57.15,1
"68",-3.05,57.65,1
"69",-3.15,55.85,2
"70",-3.25,54.95,1
"71",-3.25,56.35,1
"72",-3.35,56.15,1
"73",-3.45,56.45,1
"74",-3.65,56.05,1
"75",-3.75,56.15,1
"76",-4.65,55.55,5
"77",-4.75,51.95,1
"78",-6.25,54.55,1
"79",-6.75,57.45,1
"80",0.05,51.65,1
"81",0.05,52.95,7
"82",0.05,53.25,1
"83",0.05,53.65,2
"84",0.15,53.55,1
"85",0.15,53.65,49
"86",0.25,52.35,1
"87",0.25,52.55,4
"88",0.25,52.75,1
"89",0.65,52.65,1
"90",0.75,52.35,1
"91",0.95,50.95,3
"92",0.95,52.55,3
"93",1.05,51.05,1
"94",1.15,51.05,1
"95",1.25,51.15,1
"96",1.65,52.15,1
"97",1.65,52.35,1
