"","X","Y","Count"
"1",-0.05,52.25,2
"2",-0.05,53.05,1
"3",-0.05,54.15,2
"4",-0.15,51.35,5
"5",-0.15,51.95,2
"6",-0.15,54.15,6
"7",-0.25,51.75,4
"8",-0.25,54.25,16
"9",-0.35,53.85,1
"10",-0.35,53.95,1
"11",-0.35,54.25,4
"12",-0.45,52.05,1
"13",-0.45,53.05,1
"14",-0.45,53.15,1
"15",-0.45,54.35,1
"16",-0.55,53.05,2
"17",-0.65,52.65,3
"18",-0.75,52.95,1
"19",-0.75,53.15,1
"20",-0.75,53.35,1
"21",-0.75,53.55,2
"22",-0.75,53.65,5
"23",-0.75,60.45,1
"24",-0.85,60.85,1
"25",-1.05,53.65,1
"26",-1.15,54.15,2
"27",-1.25,52.85,1
"28",-1.25,52.95,2
"29",-1.25,54.65,5
"30",-1.35,53.55,3
"31",-1.35,53.75,3
"32",-1.35,54.95,31
"33",-1.45,53.65,1
"34",-1.45,54.05,1
"35",-1.45,55.05,1
"36",-1.55,53.55,1
"37",-1.55,54.85,1
"38",-1.55,55.15,1
"39",-1.55,55.25,7
"40",-1.55,55.35,5
"41",-1.65,53.05,2
"42",-1.65,53.85,1
"43",-1.65,54.75,1
"44",-1.65,54.95,1
"45",-1.65,55.05,1
"46",-1.65,55.35,1
"47",-1.65,59.55,1
"48",-1.95,51.65,1
"49",-1.95,57.65,1
"50",-2.05,52.85,1
"51",-2.15,52.15,1
"52",-2.15,53.35,1
"53",-2.25,52.65,4
"54",-2.35,55.95,1
"55",-2.45,55.95,1
"56",-2.45,56.65,1
"57",-2.45,57.35,1
"58",-2.45,59.35,3
"59",-2.55,53.45,3
"60",-2.55,55.15,1
"61",-2.85,53.65,7
"62",-2.85,54.25,1
"63",-2.95,54.75,1
"64",-2.95,55.95,1
"65",-3.15,55.85,4
"66",-3.15,56.65,1
"67",-3.25,54.95,1
"68",-3.35,56.15,2
"69",-3.35,56.25,1
"70",-3.65,54.85,1
"71",0.05,52.95,17
"72",0.15,53.15,1
"73",0.15,53.65,25
"74",0.25,52.55,3
"75",0.25,53.15,1
"76",0.35,53.05,1
"77",0.55,52.45,1
"78",0.65,50.95,1
"79",0.65,52.95,1
"80",0.75,52.35,1
"81",0.95,50.95,7
"82",1.05,51.05,1
"83",1.65,52.35,1
