"","X","Y","Count"
"1",-0.15,51.35,2
"2",-0.15,54.15,5
"3",-0.25,51.75,7
"4",-0.25,54.25,1
"5",-0.45,53.25,1
"6",-0.55,53.75,2
"7",-0.65,52.65,1
"8",-0.75,52.25,1
"9",-0.75,52.55,2
"10",-0.75,52.65,1
"11",-0.75,53.65,3
"12",-0.75,53.75,1
"13",-0.85,52.35,6
"14",-0.85,53.75,2
"15",-0.95,53.35,1
"16",-0.95,53.85,1
"17",-0.95,54.05,2
"18",-1.05,53.65,2
"19",-1.15,54.65,1
"20",-1.25,52.95,3
"21",-1.25,54.05,10
"22",-1.25,54.65,9
"23",-1.35,53.55,3
"24",-1.35,53.75,9
"25",-1.45,54.05,2
"26",-1.45,54.65,1
"27",-1.45,54.85,2
"28",-1.45,55.05,6
"29",-1.55,54.15,1
"30",-1.55,54.85,4
"31",-1.55,55.05,1
"32",-1.55,55.25,10
"33",-1.55,55.35,6
"34",-1.65,53.05,3
"35",-1.65,54.85,2
"36",-1.65,55.05,3
"37",-1.75,54.75,3
"38",-1.75,55.55,1
"39",-1.75,55.65,1
"40",-1.95,53.15,2
"41",-1.95,55.65,1
"42",-1.95,57.65,1
"43",-2.05,52.85,1
"44",-2.05,55.85,1
"45",-2.15,55.95,1
"46",-2.15,57.55,1
"47",-2.25,52.65,4
"48",-2.25,53.25,4
"49",-2.25,54.05,4
"50",-2.45,53.45,1
"51",-2.45,55.95,1
"52",-2.55,56.05,1
"53",-2.65,53.55,1
"54",-2.75,53.65,1
"55",-2.75,54.15,1
"56",-2.75,57.65,1
"57",-2.85,53.65,10
"58",-2.85,53.95,1
"59",-2.85,55.85,3
"60",-2.85,56.05,3
"61",-2.95,53.85,1
"62",-2.95,56.65,1
"63",-3.05,56.65,1
"64",-3.15,54.55,1
"65",-3.15,56.05,1
"66",-3.25,55.95,1
"67",-3.35,54.95,1
"68",-3.35,56.05,1
"69",-3.35,56.15,3
"70",-3.35,56.25,1
"71",-3.45,54.95,2
"72",-3.85,56.05,1
"73",-4.05,57.55,1
"74",-4.15,57.55,1
"75",-4.25,55.75,1
"76",-6.25,54.55,1
"77",0.05,52.05,2
"78",0.05,52.95,4
"79",0.05,53.15,1
"80",0.05,53.65,6
"81",0.15,52.45,3
"82",0.15,53.65,21
"83",0.25,50.75,1
"84",0.25,52.55,15
"85",0.35,52.55,2
"86",0.55,52.35,3
"87",0.55,52.95,1
"88",0.65,52.55,1
"89",0.65,52.95,1
"90",0.85,50.95,1
"91",0.85,51.05,1
"92",0.95,50.95,5
"93",0.95,52.55,1
