"","X","Y","Count"
"1",-0.05,52.25,1
"2",-0.15,51.35,2
"3",-0.15,54.15,5
"4",-0.25,54.15,2
"5",-0.25,54.25,8
"6",-0.35,52.75,1
"7",-0.35,54.25,3
"8",-0.65,52.65,3
"9",-0.65,53.05,2
"10",-0.65,53.75,1
"11",-0.75,53.35,1
"12",-0.75,53.65,4
"13",-1.05,52.65,1
"14",-1.25,52.85,2
"15",-1.25,52.95,2
"16",-1.35,53.55,2
"17",-1.35,53.75,5
"18",-1.35,54.95,20
"19",-1.45,55.05,2
"20",-1.45,55.15,1
"21",-1.55,54.85,1
"22",-1.55,55.25,3
"23",-1.55,55.35,2
"24",-1.65,55.05,1
"25",-1.65,59.55,1
"26",-1.75,54.85,1
"27",-1.75,55.65,1
"28",-1.85,55.65,1
"29",-2.45,53.15,1
"30",-2.45,56.75,1
"31",-2.45,59.35,3
"32",-2.65,52.65,1
"33",-2.75,54.15,1
"34",-2.75,56.75,1
"35",-2.85,53.65,2
"36",-2.85,57.05,1
"37",-2.95,55.95,2
"38",-3.05,56.65,1
"39",-3.15,55.95,1
"40",-3.25,56.35,1
"41",-3.85,56.15,1
"42",0.05,52.85,1
"43",0.05,52.95,1
"44",0.15,53.65,12
"45",0.25,52.55,4
"46",0.65,50.85,1
"47",0.65,51.55,1
"48",0.65,52.95,2
"49",0.75,51.55,1
"50",0.75,52.45,1
"51",0.75,52.55,1
"52",0.85,50.95,1
"53",0.85,52.45,1
"54",0.95,50.95,3
"55",0.95,52.45,1
