"","X","Y","Count"
"1",-0.05,51.55,1
"2",-0.05,54.15,7
"3",-0.15,51.15,1
"4",-0.15,51.35,22
"5",-0.15,54.15,35
"6",-0.25,51.75,39
"7",-0.25,52.95,5
"8",-0.25,53.65,1
"9",-0.25,54.15,3
"10",-0.25,54.25,14
"11",-0.35,52.55,1
"12",-0.35,54.25,6
"13",-0.45,52.65,1
"14",-0.45,53.75,1
"15",-0.45,54.35,1
"16",-0.55,50.85,1
"17",-0.55,50.95,1
"18",-0.55,53.75,1
"19",-0.65,51.35,1
"20",-0.65,51.95,1
"21",-0.65,52.65,57
"22",-0.65,52.95,3
"23",-0.65,53.65,1
"24",-0.65,53.75,2
"25",-0.75,52.55,3
"26",-0.75,52.65,7
"27",-0.75,52.75,1
"28",-0.75,52.95,3
"29",-0.75,53.45,2
"30",-0.75,53.65,27
"31",-0.75,54.55,1
"32",-0.85,52.25,1
"33",-0.85,52.75,1
"34",-0.85,54.55,3
"35",-0.95,50.85,1
"36",-0.95,53.05,1
"37",-0.95,53.45,1
"38",-0.95,53.85,1
"39",-0.95,53.95,1
"40",-0.95,54.05,1
"41",-0.95,54.15,2
"42",-1.05,52.85,1
"43",-1.05,53.25,1
"44",-1.05,53.65,4
"45",-1.05,54.05,2
"46",-1.05,54.55,3
"47",-1.15,53.35,2
"48",-1.15,53.95,2
"49",-1.15,54.15,2
"50",-1.15,54.25,1
"51",-1.15,54.55,1
"52",-1.25,51.75,1
"53",-1.25,52.55,3
"54",-1.25,52.85,1
"55",-1.25,52.95,10
"56",-1.25,54.65,71
"57",-1.25,59.85,2
"58",-1.25,60.15,2
"59",-1.35,50.95,1
"60",-1.35,52.05,1
"61",-1.35,52.15,1
"62",-1.35,52.35,1
"63",-1.35,53.25,2
"64",-1.35,53.35,1
"65",-1.35,53.55,33
"66",-1.35,53.75,33
"67",-1.35,53.95,2
"68",-1.35,54.45,1
"69",-1.45,51.75,1
"70",-1.45,52.05,1
"71",-1.45,52.85,2
"72",-1.45,53.15,1
"73",-1.45,53.25,5
"74",-1.45,53.65,2
"75",-1.45,54.05,39
"76",-1.45,54.75,1
"77",-1.45,54.85,33
"78",-1.45,55.05,15
"79",-1.55,52.25,1
"80",-1.55,52.95,1
"81",-1.55,53.55,1
"82",-1.55,53.65,1
"83",-1.55,54.15,13
"84",-1.55,54.75,2
"85",-1.55,54.85,13
"86",-1.55,55.05,3
"87",-1.55,55.15,3
"88",-1.55,55.25,34
"89",-1.55,55.35,12
"90",-1.55,55.45,1
"91",-1.65,51.65,2
"92",-1.65,53.05,92
"93",-1.65,54.75,1
"94",-1.65,54.85,7
"95",-1.65,54.95,2
"96",-1.65,55.05,3
"97",-1.65,55.15,5
"98",-1.65,55.55,2
"99",-1.65,59.55,2
"100",-1.75,53.35,2
"101",-1.75,53.75,1
"102",-1.75,53.95,4
"103",-1.75,54.65,1
"104",-1.75,54.75,17
"105",-1.75,55.05,1
"106",-1.75,55.15,1
"107",-1.75,55.65,1
"108",-1.85,51.15,2
"109",-1.85,51.35,1
"110",-1.85,55.05,3
"111",-1.85,55.65,1
"112",-1.95,53.15,11
"113",-1.95,54.05,1
"114",-1.95,55.75,1
"115",-1.95,57.65,9
"116",-2.05,53.15,2
"117",-2.05,57.15,3
"118",-2.15,51.55,1
"119",-2.15,56.95,1
"120",-2.25,52.65,12
"121",-2.25,53.35,1
"122",-2.25,55.85,1
"123",-2.35,53.45,3
"124",-2.35,55.95,2
"125",-2.35,57.35,2
"126",-2.45,53.15,4
"127",-2.45,53.45,12
"128",-2.45,53.65,1
"129",-2.45,55.95,1
"130",-2.45,56.65,9
"131",-2.45,56.75,1
"132",-2.45,57.35,5
"133",-2.55,52.95,1
"134",-2.55,53.45,1
"135",-2.55,54.65,1
"136",-2.55,55.95,1
"137",-2.55,56.05,1
"138",-2.55,56.65,1
"139",-2.65,52.65,1
"140",-2.65,53.75,2
"141",-2.65,55.55,1
"142",-2.65,56.55,1
"143",-2.75,51.65,1
"144",-2.75,53.35,1
"145",-2.75,53.45,1
"146",-2.75,53.55,2
"147",-2.75,54.15,2
"148",-2.75,54.25,2
"149",-2.75,54.95,1
"150",-2.75,56.25,2
"151",-2.75,56.35,1
"152",-2.75,57.05,2
"153",-2.75,57.45,2
"154",-2.85,50.85,1
"155",-2.85,52.35,1
"156",-2.85,53.65,22
"157",-2.85,53.75,2
"158",-2.85,53.85,1
"159",-2.85,53.95,3
"160",-2.85,55.85,15
"161",-2.85,55.95,4
"162",-2.85,56.05,3
"163",-2.85,56.35,10
"164",-2.85,56.45,1
"165",-2.85,57.05,1
"166",-2.95,51.55,1
"167",-2.95,52.45,1
"168",-2.95,53.65,2
"169",-2.95,54.55,1
"170",-2.95,55.15,1
"171",-2.95,55.95,16
"172",-2.95,56.65,1
"173",-3.05,53.25,1
"174",-3.05,53.95,1
"175",-3.05,54.85,1
"176",-3.05,55.95,3
"177",-3.05,56.65,14
"178",-3.05,57.65,2
"179",-3.15,52.65,1
"180",-3.15,54.55,2
"181",-3.15,55.75,1
"182",-3.15,55.85,2
"183",-3.25,54.45,1
"184",-3.25,54.95,1
"185",-3.25,56.25,1
"186",-3.25,56.45,13
"187",-3.25,57.65,2
"188",-3.35,52.55,1
"189",-3.35,54.95,4
"190",-3.35,55.05,1
"191",-3.35,55.95,1
"192",-3.35,56.05,1
"193",-3.35,56.15,10
"194",-3.35,56.25,3
"195",-3.35,56.55,1
"196",-3.45,54.95,10
"197",-3.45,56.15,1
"198",-3.45,56.55,1
"199",-3.45,57.65,1
"200",-3.55,54.45,2
"201",-3.55,55.95,8
"202",-3.65,54.85,2
"203",-3.65,56.15,3
"204",-3.65,57.65,1
"205",-3.75,57.85,1
"206",-3.85,52.55,3
"207",-3.85,56.35,1
"208",-3.95,52.45,1
"209",-3.95,54.95,1
"210",-3.95,57.35,1
"211",-3.95,57.75,2
"212",-4.05,57.55,1
"213",-4.15,51.65,1
"214",-4.15,57.45,1
"215",-4.15,57.55,5
"216",-4.25,52.25,1
"217",-4.25,57.45,1
"218",-4.25,57.65,3
"219",-4.35,54.75,1
"220",-4.35,57.45,3
"221",-4.45,55.55,1
"222",-4.45,57.55,3
"223",-4.65,53.35,1
"224",-4.65,55.55,14
"225",-4.65,57.15,1
"226",-4.75,56.85,1
"227",-5.65,54.55,2
"228",-5.85,57.05,1
"229",-5.85,57.45,1
"230",-6.25,54.55,5
"231",-6.55,55.25,2
"232",0.05,52.15,1
"233",0.05,52.45,3
"234",0.05,52.95,26
"235",0.05,53.15,1
"236",0.05,53.65,19
"237",0.15,52.45,15
"238",0.15,53.55,2
"239",0.15,53.65,56
"240",0.25,52.55,41
"241",0.35,53.05,1
"242",0.35,53.25,2
"243",0.45,52.35,1
"244",0.45,52.45,2
"245",0.45,52.85,1
"246",0.55,52.35,20
"247",0.55,52.85,6
"248",0.65,52.35,1
"249",0.65,52.55,2
"250",0.75,52.35,2
"251",0.75,52.55,1
"252",0.75,52.85,1
"253",0.85,50.95,12
"254",0.85,52.55,2
"255",0.95,50.95,41
"256",1.35,51.15,1
"257",1.45,51.15,1
"258",1.45,52.65,1
"259",1.55,52.85,1
"260",1.65,52.35,1
"261",1.75,52.75,1
