"","X","Y","Count"
"1",-0.05,52.25,2
"2",-0.05,53.05,1
"3",-0.05,54.15,1
"4",-0.15,51.35,5
"5",-0.15,53.25,1
"6",-0.15,54.15,10
"7",-0.25,51.75,1
"8",-0.25,53.75,1
"9",-0.25,54.15,2
"10",-0.25,54.25,11
"11",-0.35,54.05,1
"12",-0.35,54.25,4
"13",-0.45,53.75,1
"14",-0.55,53.25,1
"15",-0.65,53.75,1
"16",-0.75,52.65,1
"17",-0.75,53.35,1
"18",-0.75,53.55,1
"19",-0.75,53.65,1
"20",-0.85,51.65,1
"21",-0.85,53.35,1
"22",-0.85,54.35,1
"23",-0.85,60.85,2
"24",-0.95,51.95,1
"25",-1.15,54.65,1
"26",-1.25,52.85,2
"27",-1.35,53.75,1
"28",-1.35,54.95,17
"29",-1.45,53.65,1
"30",-1.45,54.05,2
"31",-1.45,55.05,1
"32",-1.55,53.65,1
"33",-1.55,55.25,5
"34",-1.65,53.05,3
"35",-1.65,54.95,1
"36",-1.65,55.15,1
"37",-1.65,59.55,1
"38",-1.75,55.65,1
"39",-2.05,55.55,1
"40",-2.15,55.95,1
"41",-2.15,57.15,1
"42",-2.25,52.65,2
"43",-2.25,53.25,1
"44",-2.25,55.85,1
"45",-2.35,53.15,1
"46",-2.45,53.45,1
"47",-2.45,59.35,2
"48",-2.65,52.65,1
"49",-2.75,53.45,1
"50",-2.75,54.15,1
"51",-2.85,53.65,4
"52",-2.85,53.75,1
"53",-2.85,53.85,1
"54",-2.85,56.35,1
"55",-2.95,55.95,2
"56",-3.05,57.65,1
"57",-3.15,55.95,1
"58",-3.45,54.95,2
"59",-3.55,55.05,1
"60",-3.65,54.85,1
"61",-3.65,56.15,1
"62",-3.95,56.35,1
"63",-4.15,57.55,1
"64",-4.65,55.55,2
"65",-5.95,54.45,1
"66",0.05,52.95,5
"67",0.15,53.15,1
"68",0.15,53.55,1
"69",0.15,53.65,17
"70",0.25,52.55,1
"71",0.55,52.85,1
"72",0.65,50.85,2
"73",0.75,52.35,1
"74",0.95,50.95,2
"75",1.35,51.15,1
"76",1.75,52.35,1
