"","X","Y","Count"
"1",-0.15,51.35,2
"2",-0.15,54.15,11
"3",-0.25,51.75,5
"4",-0.25,54.25,2
"5",-0.75,52.55,1
"6",-0.75,53.65,3
"7",-0.85,52.35,1
"8",-0.95,53.65,1
"9",-1.05,53.65,1
"10",-1.15,60.25,1
"11",-1.25,52.95,2
"12",-1.25,54.45,1
"13",-1.25,54.65,3
"14",-1.35,53.55,3
"15",-1.35,53.75,5
"16",-1.45,54.05,1
"17",-1.45,54.85,3
"18",-1.45,55.05,10
"19",-1.55,55.15,1
"20",-1.55,55.25,12
"21",-1.55,55.35,1
"22",-1.65,53.05,3
"23",-1.65,54.45,1
"24",-1.75,53.75,1
"25",-1.95,53.15,2
"26",-1.95,55.65,1
"27",-1.95,57.35,1
"28",-1.95,57.65,2
"29",-2.05,57.55,1
"30",-2.15,54.55,1
"31",-2.15,55.95,3
"32",-2.25,52.65,2
"33",-2.25,53.25,2
"34",-2.35,53.45,1
"35",-2.35,55.35,1
"36",-2.45,51.75,1
"37",-2.45,53.15,1
"38",-2.45,55.95,1
"39",-2.45,56.65,1
"40",-2.45,56.75,1
"41",-2.55,53.45,6
"42",-2.75,53.35,1
"43",-2.75,53.65,1
"44",-2.85,53.65,5
"45",-2.85,53.95,1
"46",-2.85,54.25,1
"47",-2.85,56.05,2
"48",-2.85,56.35,1
"49",-2.95,53.85,1
"50",-3.15,54.55,1
"51",-3.15,55.85,2
"52",-3.25,52.55,1
"53",-3.25,54.85,1
"54",-3.25,56.15,1
"55",-3.35,56.15,1
"56",-3.35,56.25,1
"57",-3.45,54.95,1
"58",-3.45,57.65,1
"59",-3.45,57.75,1
"60",-4.05,56.25,1
"61",-4.15,57.65,2
"62",-4.45,55.55,1
"63",-4.65,55.55,2
"64",0.05,52.95,4
"65",0.05,53.65,5
"66",0.15,52.45,5
"67",0.15,53.55,1
"68",0.15,53.65,22
"69",0.25,51.45,1
"70",0.25,52.55,6
"71",0.55,52.35,2
"72",0.55,52.85,1
"73",0.95,50.95,1
"74",0.95,52.55,2
"75",1.25,51.15,1
