"","X","Y","Count"
"1",-0.05,52.25,1
"2",-0.05,54.15,1
"3",-0.15,51.35,2
"4",-0.15,54.15,9
"5",-0.25,51.75,3
"6",-0.25,54.25,8
"7",-0.55,52.25,1
"8",-0.55,53.05,1
"9",-0.55,53.65,1
"10",-0.65,52.65,1
"11",-0.65,53.55,1
"12",-0.65,53.75,1
"13",-0.75,52.15,1
"14",-0.75,52.25,1
"15",-0.75,53.55,1
"16",-0.75,53.65,2
"17",-0.75,54.55,1
"18",-1.05,53.65,1
"19",-1.25,52.85,1
"20",-1.25,52.95,2
"21",-1.25,54.45,1
"22",-1.35,53.55,1
"23",-1.35,53.75,2
"24",-1.35,54.95,14
"25",-1.45,55.05,1
"26",-1.55,54.75,1
"27",-1.55,55.25,7
"28",-1.55,55.35,1
"29",-1.65,53.05,7
"30",-1.65,53.85,1
"31",-1.75,52.05,1
"32",-1.75,55.65,1
"33",-1.85,55.05,1
"34",-2.05,53.45,1
"35",-2.25,52.65,1
"36",-2.25,53.25,2
"37",-2.25,53.55,1
"38",-2.35,55.95,1
"39",-2.45,59.35,2
"40",-2.55,56.05,1
"41",-2.75,53.45,1
"42",-2.85,53.65,9
"43",-2.85,53.95,1
"44",-2.85,56.15,1
"45",-2.85,57.05,1
"46",-3.15,55.85,1
"47",-3.35,56.05,1
"48",-3.45,56.45,1
"49",-4.05,56.25,1
"50",-4.05,57.55,1
"51",-4.25,51.55,1
"52",-4.45,57.55,1
"53",-4.65,55.55,1
"54",-5.95,54.45,1
"55",-6.45,55.25,1
"56",0.05,52.95,8
"57",0.05,53.65,1
"58",0.15,53.65,17
"59",0.25,52.55,1
"60",0.25,53.15,1
"61",0.35,53.05,1
"62",0.55,52.85,1
"63",0.75,52.35,1
"64",0.75,52.55,1
"65",0.95,50.95,8
"66",0.95,52.55,1
"67",1.05,52.85,1
"68",1.35,51.95,1
