"","X","Y","Count"
"1",-0.15,51.35,2
"2",-0.15,53.25,1
"3",-0.15,54.15,6
"4",-0.25,51.75,3
"5",-0.25,54.25,19
"6",-0.35,52.75,2
"7",-0.35,53.85,1
"8",-0.35,54.25,3
"9",-0.45,53.85,1
"10",-0.55,52.05,1
"11",-0.55,52.25,1
"12",-0.55,54.25,1
"13",-0.65,53.05,1
"14",-0.65,53.75,1
"15",-0.75,52.65,1
"16",-0.75,53.35,1
"17",-0.75,53.55,2
"18",-0.75,53.65,2
"19",-0.85,54.55,1
"20",-0.95,53.55,1
"21",-1.25,52.85,2
"22",-1.35,52.35,1
"23",-1.35,53.55,2
"24",-1.35,53.75,2
"25",-1.35,54.95,25
"26",-1.55,53.85,1
"27",-1.55,55.25,5
"28",-1.55,55.35,1
"29",-1.65,53.05,6
"30",-1.65,54.95,1
"31",-1.65,55.05,2
"32",-1.65,55.35,1
"33",-1.65,59.55,2
"34",-1.95,53.15,1
"35",-1.95,57.65,1
"36",-2.25,52.65,2
"37",-2.35,53.35,1
"38",-2.45,59.35,1
"39",-2.55,53.05,2
"40",-2.85,53.65,11
"41",-2.85,56.05,1
"42",-2.95,55.95,1
"43",-3.15,55.85,2
"44",-3.15,56.25,1
"45",-3.35,56.15,2
"46",-3.65,54.85,1
"47",-4.05,56.25,2
"48",-4.65,55.55,2
"49",-6.25,54.55,1
"50",-6.55,55.25,1
"51",-7.05,55.05,1
"52",0.05,52.85,1
"53",0.05,52.95,8
"54",0.05,53.65,2
"55",0.15,53.55,1
"56",0.15,53.65,15
"57",0.25,52.55,3
"58",0.25,53.45,1
"59",0.55,52.85,1
"60",0.55,52.95,1
"61",0.65,50.95,1
"62",0.65,52.55,1
"63",0.85,52.45,1
"64",0.95,50.95,3
"65",1.05,51.35,1
"66",1.25,51.25,1
"67",1.35,51.15,1
