"","X","Y","Count"
"1",-0.05,52.25,7
"2",-0.05,53.05,3
"3",-0.05,54.15,1
"4",-0.15,51.35,12
"5",-0.15,52.95,1
"6",-0.15,53.25,3
"7",-0.15,54.15,23
"8",-0.25,51.75,4
"9",-0.25,54.15,7
"10",-0.25,54.25,35
"11",-0.35,52.55,2
"12",-0.35,52.75,3
"13",-0.35,54.25,6
"14",-0.45,53.05,1
"15",-0.45,53.15,1
"16",-0.45,53.65,2
"17",-0.45,54.25,1
"18",-0.45,54.35,1
"19",-0.55,53.05,2
"20",-0.55,53.65,1
"21",-0.55,53.75,1
"22",-0.65,52.65,7
"23",-0.65,53.05,1
"24",-0.65,53.15,2
"25",-0.65,53.55,2
"26",-0.65,53.75,1
"27",-0.75,52.15,1
"28",-0.75,52.25,2
"29",-0.75,52.55,1
"30",-0.75,53.35,5
"31",-0.75,53.55,4
"32",-0.75,53.65,6
"33",-0.75,53.85,1
"34",-0.85,54.55,1
"35",-0.85,60.85,1
"36",-0.95,53.15,2
"37",-0.95,53.85,2
"38",-0.95,53.95,1
"39",-0.95,54.15,1
"40",-1.05,51.25,1
"41",-1.05,53.65,2
"42",-1.15,52.45,1
"43",-1.15,53.65,1
"44",-1.15,53.95,1
"45",-1.15,54.15,2
"46",-1.15,54.65,3
"47",-1.25,52.85,1
"48",-1.25,52.95,5
"49",-1.25,54.65,7
"50",-1.25,54.75,1
"51",-1.35,52.35,1
"52",-1.35,53.55,2
"53",-1.35,53.75,4
"54",-1.35,54.95,84
"55",-1.45,54.05,4
"56",-1.45,54.85,2
"57",-1.45,55.05,6
"58",-1.55,53.45,1
"59",-1.55,54.75,1
"60",-1.55,54.85,2
"61",-1.55,55.15,1
"62",-1.55,55.25,12
"63",-1.55,55.35,1
"64",-1.55,55.45,1
"65",-1.65,53.05,4
"66",-1.65,53.85,1
"67",-1.65,55.05,4
"68",-1.65,55.15,1
"69",-1.65,55.35,1
"70",-1.65,55.55,3
"71",-1.65,59.55,2
"72",-1.75,52.45,1
"73",-1.75,55.05,1
"74",-1.75,55.15,1
"75",-1.75,55.65,1
"76",-1.95,52.65,1
"77",-1.95,53.15,3
"78",-1.95,55.75,1
"79",-1.95,57.35,1
"80",-1.95,57.65,2
"81",-2.05,52.35,1
"82",-2.05,55.35,1
"83",-2.15,53.35,1
"84",-2.15,55.95,1
"85",-2.25,52.65,8
"86",-2.25,53.25,4
"87",-2.35,53.45,1
"88",-2.45,52.75,1
"89",-2.45,53.45,2
"90",-2.45,56.75,1
"91",-2.45,59.35,4
"92",-2.55,53.45,2
"93",-2.55,55.95,1
"94",-2.55,56.05,1
"95",-2.65,52.65,1
"96",-2.65,56.05,1
"97",-2.65,56.25,1
"98",-2.75,53.45,1
"99",-2.75,54.15,1
"100",-2.75,56.75,1
"101",-2.85,51.45,1
"102",-2.85,53.15,2
"103",-2.85,53.65,30
"104",-2.85,53.75,1
"105",-2.85,54.25,1
"106",-2.85,55.95,1
"107",-2.85,56.05,1
"108",-2.85,56.35,2
"109",-2.85,57.35,1
"110",-2.95,55.95,5
"111",-3.05,55.95,2
"112",-3.05,56.65,1
"113",-3.05,57.65,2
"114",-3.15,54.55,1
"115",-3.15,55.85,5
"116",-3.25,54.95,1
"117",-3.35,54.85,1
"118",-3.35,56.15,3
"119",-3.45,54.95,1
"120",-3.45,55.95,1
"121",-3.45,56.05,1
"122",-3.45,56.15,1
"123",-3.65,54.85,1
"124",-3.95,56.35,1
"125",-4.05,56.25,1
"126",-4.05,57.55,2
"127",-4.25,57.45,1
"128",-4.65,55.55,9
"129",-6.55,54.85,1
"130",0.05,52.95,17
"131",0.05,53.65,3
"132",0.15,52.65,1
"133",0.15,53.15,1
"134",0.15,53.55,1
"135",0.15,53.65,90
"136",0.25,52.55,13
"137",0.35,53.15,1
"138",0.55,52.85,2
"139",0.65,50.85,4
"140",0.65,52.95,2
"141",0.75,52.45,1
"142",0.85,51.05,1
"143",0.95,50.95,22
"144",0.95,51.05,1
"145",0.95,51.85,1
"146",0.95,52.45,1
"147",1.25,52.65,1
"148",1.65,52.35,1
