"","X","Y","Count"
"1",-0.05,54.15,1
"2",-0.15,51.35,2
"3",-0.15,54.15,24
"4",-0.25,51.75,3
"5",-0.25,54.25,17
"6",-0.35,53.95,1
"7",-0.35,54.15,2
"8",-0.35,54.25,4
"9",-0.55,53.75,1
"10",-0.65,54.45,1
"11",-0.75,52.55,1
"12",-0.75,52.65,1
"13",-0.75,53.65,2
"14",-0.75,54.05,1
"15",-0.85,52.65,1
"16",-0.85,53.75,1
"17",-0.85,54.35,2
"18",-0.95,53.55,1
"19",-1.05,52.65,1
"20",-1.05,53.65,1
"21",-1.15,51.75,1
"22",-1.25,52.95,1
"23",-1.25,54.25,1
"24",-1.25,54.65,1
"25",-1.35,53.55,3
"26",-1.35,53.75,6
"27",-1.35,54.95,4
"28",-1.45,54.05,5
"29",-1.45,54.65,1
"30",-1.45,54.85,4
"31",-1.45,55.05,3
"32",-1.55,54.85,1
"33",-1.55,55.15,1
"34",-1.55,55.25,8
"35",-1.55,55.35,3
"36",-1.65,50.95,1
"37",-1.65,53.05,6
"38",-1.65,53.55,1
"39",-1.65,54.75,1
"40",-1.65,55.45,1
"41",-1.75,52.75,2
"42",-1.75,55.65,1
"43",-1.85,55.05,1
"44",-1.85,55.65,1
"45",-1.85,57.45,1
"46",-1.95,53.15,1
"47",-1.95,57.65,1
"48",-2.05,52.65,1
"49",-2.05,54.95,2
"50",-2.15,53.55,1
"51",-2.15,55.95,1
"52",-2.25,52.65,1
"53",-2.25,54.05,3
"54",-2.45,53.45,3
"55",-2.45,55.95,2
"56",-2.45,56.65,1
"57",-2.55,53.45,1
"58",-2.55,56.05,1
"59",-2.55,57.15,1
"60",-2.65,55.95,2
"61",-2.65,56.05,1
"62",-2.75,53.05,1
"63",-2.75,53.45,1
"64",-2.85,53.65,11
"65",-2.85,56.35,1
"66",-2.95,53.85,1
"67",-2.95,55.95,1
"68",-3.05,56.65,1
"69",-3.15,55.85,1
"70",-3.15,55.95,1
"71",-3.25,54.95,1
"72",-3.25,56.45,1
"73",-3.35,56.15,2
"74",-3.35,56.25,1
"75",-3.45,54.95,1
"76",-3.45,56.45,2
"77",-3.85,56.15,1
"78",-4.05,53.05,1
"79",-4.15,57.55,1
"80",-4.15,57.65,1
"81",-4.25,55.85,1
"82",-4.25,56.15,1
"83",-4.35,57.55,1
"84",-4.65,55.55,1
"85",-5.45,50.15,1
"86",-6.25,54.55,1
"87",-6.55,55.25,1
"88",0.05,52.85,1
"89",0.05,52.95,4
"90",0.05,53.15,1
"91",0.05,53.65,4
"92",0.15,51.35,1
"93",0.15,52.25,1
"94",0.15,52.45,2
"95",0.15,53.55,1
"96",0.15,53.65,35
"97",0.25,52.55,12
"98",0.45,52.95,2
"99",0.55,52.85,1
"100",0.65,50.85,2
"101",0.65,52.05,1
"102",0.75,52.35,2
"103",0.75,52.55,1
"104",0.85,51.05,1
"105",0.85,52.55,1
"106",0.95,50.95,2
"107",0.95,52.55,4
