"","decimalLongitude","decimalLatitude","year","tas","tasmin","tasmax","rainfall","hurs","land"
"1",0.919592,50.9458,2001,9.51817992330447,5.54611449219456,13.4655195804741,716.314998069231,81.8510231351183,13
"2",0.687469,50.8983,2001,9.61031693486363,5.69999101813103,13.5021642971255,716.960034336085,81.620574006493,14
"3",-2.43313,59.3629,2001,9.67960560777594,5.60195780533421,13.7914756170626,627.673387526536,82.125115689407,12
"4",-1.36271,54.9671,2001,9.88399963265935,5.88056505577408,13.881344054335,767.716073489559,81.6741434869587,10
"5",-0.727351,53.6994,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"6",-1.73939,54.8232,2001,9.84600176566266,6.25040984848788,13.3966660189716,898.109947569692,82.5590360695366,9
"7",-1.31646,53.7437,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"8",-1.64537,55.0547,2001,9.77582257268384,5.53455554414935,14.0367904331394,748.73600295091,81.6525340784901,12
"9",-2.49851,56.7138,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"10",-1.36271,54.9671,2001,10.0192892003214,6.39331452502378,13.6122127508335,878.28878709708,81.4347033661961,10
"11",-3.20588,56.3958,2001,9.63480077296576,6.06042542126038,13.1950077411511,873.197969840592,83.0824497745494,10
"12",-2.86639,53.6225,2001,10.0659455342681,5.9523698840086,14.1659604505737,735.580262706939,81.2111809421939,12
"13",-0.27452,54.2167,2001,9.61031693486363,5.69999101813103,13.5021642971255,716.960034336085,81.620574006493,14
"14",-0.279492,54.2185,2001,9.83370838971639,5.81514376537493,13.8464533152702,652.252685261982,80.8526465343468,12
"15",-1.71983,55.6167,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"16",0.137157,53.6184,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"17",-0.748363,53.3233,2001,9.92040223605336,6.103122787078,13.741885032286,683.008466655969,82.6067977734258,12
"18",0.614915,52.9473,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"19",-1.35818,53.5149,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"20",-0.681652,53.0355,2001,10.1186909168084,6.97416657029615,13.3337739118243,695.519530045687,83.1751528911032,9
"21",-1.5556,55.2421,2001,9.92040223605336,6.103122787078,13.741885032286,683.008466655969,82.6067977734258,12
"22",-1.36271,54.9671,2001,9.74630897037072,5.43328139466737,14.102368042257,825.190481365181,81.6479332518116,12
"23",0.147514,53.6008,2001,10.0659455342681,5.9523698840086,14.1659604505737,735.580262706939,81.2111809421939,12
"24",-2.97969,55.9075,2001,9.46161187604385,6.67931662781463,12.1960802625067,710.356603989242,83.2041845947654,0
"25",-0.698426,52.6577,2001,10.0659455342681,5.9523698840086,14.1659604505737,735.580262706939,81.2111809421939,12
"26",-2.66773,52.6512,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"27",-1.25257,52.8844,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"28",-0.303412,54.2111,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"29",-0.279492,54.2185,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"30",-3.1801,55.9035,2001,9.68870288441001,5.94777929596169,13.4573453375311,871.285452254148,81.6553923210761,9
"31",-0.680036,52.6405,2001,9.61031693486363,5.69999101813103,13.5021642971255,716.960034336085,81.620574006493,14
"32",-0.27452,54.2167,2001,10.0659455342681,5.9523698840086,14.1659604505737,735.580262706939,81.2111809421939,12
"33",-1.45764,55.0447,2001,9.68074886675379,5.78526892302965,13.5915047316165,713.068488476436,82.2178927832751,12
"34",-0.727351,53.6994,2001,9.84600176566266,6.25040984848788,13.3966660189716,898.109947569692,82.5590360695366,9
"35",-1.36271,54.9671,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"36",-2.88935,53.6176,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"37",-0.650039,52.6485,2001,9.11965124371198,5.99163551361613,12.2000573815053,709.648046502026,83.1241693061828,12
"38",-1.00062,52.6245,2001,9.88882272887276,5.88367335735644,13.8260385696016,667.634365792009,80.9428331414867,12
"39",-1.45764,55.0447,2001,10.5581921362279,7.36845547803815,13.7475401806261,811.631304138316,83.0477862574159,0
"40",-0.055533,52.2487,2001,10.3746531567427,6.3595126841532,14.4094369634305,979.810737062771,82.343583847437,0
"41",0.802606,52.4612,2001,8.92212572647612,4.98337871752131,12.81403397254,1019.27607355981,82.7284318668879,0
"42",-3.85107,56.1419,2001,9.61795670262424,6.04413438004571,13.2048216230364,1067.60532807226,80.5700987417667,13
"43",-0.14796,51.3806,2001,8.93744169712087,5.90967804464549,11.895579511635,785.429590992856,83.2552614950077,12
"44",0.831378,50.9693,2001,8.54720011486134,4.80293684907209,12.3277223153828,981.455684115527,83.0167467447733,12
"45",0.27775,52.5257,2001,8.54720011486134,4.80293684907209,12.3277223153828,981.455684115527,83.0167467447733,12
"46",-0.279492,54.2185,2001,9.60882396240177,5.4477685647579,13.7939631328883,584.89373414521,81.7010221428028,12
"47",-0.268508,54.1771,2001,8.54720011486134,4.80293684907209,12.3277223153828,981.455684115527,83.0167467447733,12
